Invoice Reconciliation			
			
Batch ID	Invoice ID	Invoice Number	Total Billable Amount
8115	29909399	1958.00	2700.00
8115	29909406	1965.00	4166.00
8115	29909404	1963.00	2208.33
8115	29909403	1962.00	2187.92
8115	29909401	1960.00	0.00
8115	29909402	1961.00	3472.92
8115	29909400	1959.00	70.00
8115	29909398	1957.00	916.67
8115	29909397	1956.00	2495.83
8115	29909396	1955.00	1016.67
8114	29909395	1954.00	1058.33
8114	29909394	1953.00	1754.16
8113	29909393	1952.00	3158.33
8111	29909390	1949.00	575.00
8111	29909391	1950.00	900.00
8115	29909405	1964.00	1179.17
8122	29909422	1975.00	3690.00
8123	29909423	1977.00	52000.00
8124	29909424	1978.00	49391.01
8126	29909428	1980.00	1225.00
8127	29909429	1981.00	262.50
8129	29909431	1983.00	2450.00
8130	29909432	1984.00	787.50
8128	29909430	1982.00	350.00
8131	29909437	1986.00	24.79
8132	29909438	1987.00	15387.33
8144	29909459	1987.00	15387.33
8134	29909444	1990.00	875.00
8135	29909445	1991.00	262.50
8138	29909448	1994.00	3675.00
8139	29909449	1995.00	1312.50
8140	29909450	1996.00	437.50
8141	29909451	1997.00	2100.00
8136	29909446	1992.00	123.55
8137	29909447	1993.00	175.00
8133	29909443	1989.00	4375.00
8143	29909456	1998.00	10.00
8147	29909466	2001.00	500.00
8146	29909463		0.00
8145	29909461		612.50
8148	29909468	2002.00	1352.40
8149	29909469		0.00
8149	29909470		0.00
8182	29909547	2065.00	50.00
8178	29909538	2056.00	582.44
8171	29909525	2048.00	7125.76
8169	29909515	2038.00	37.00
8168	29909507	2030.00	3947.70
8204	29909578	2088.00	247.06
8171	29909524	2047.00	4808.00
8156	29909485	2009.00	400.00
8157	29909486	2010.00	1110.00
8199	29909573	2083.00	400.00
8200	29909574	2084.00	1110.00
8205	29909584	2089.00	1367.83
8206	29909585	2085.00	2209.30
8208	29909587	2091.00	2012.23
8160	29909496	2020.00	1527.75
8158	29909487	2011.00	200.00
8150	29909479	2003.00	2009.85
8169	29909516	2039.00	1274.00
8158	29909488	2012.00	1050.00
8180	29909541	2059.00	8.34
8180	29909540	2058.00	786.68
8159	29909494	2018.00	200.00
8169	29909512	2035.00	1816.60
8158	29909490	2014.00	500.00
8209	29909588		112.90
8160	29909495	2019.00	1402.00
8168	29909510	2033.00	650.00
8173	29909533	2051.00	249.35
8181	29909543	2061.00	1080.00
8170	29909521	2044.00	744.21
8185	29909552	2069.00	549.21
8168	29909509	2032.00	106.60
8155	29909484	2008.00	7094.50
8176	29909536	2054.00	2450.00
8177	29909537	2055.00	341.52
8158	29909489	2013.00	1200.00
8167	29909506	2029.00	2745.91
8170	29909518	2041.00	700.00
8171	29909523	2046.00	795.67
8184	29909550	2068.00	3040.67
8183	29909548	2066.00	20.00
8181	29909546	2064.00	50.00
8181	29909544	2062.00	242.00
8174	29909534	2052.00	538.00
8168	29909511	2034.00	50.00
8160	29909497	2021.00	116.76
8158	29909491	2015.00	1720.00
8195	29909566	2080.00	150.00
8181	29909542	2060.00	3480.00
8158	29909492	2016.00	1367.83
8207	29909586	2090.00	460.00
8173	29909532	2050.00	66.59
8188	29909558	2072.00	78.20
8169	29909514	2037.00	5818.10
8170	29909519	2042.00	1496.00
8158	29909493	2017.00	500.00
8172	29909530	2049.00	24807.03
8161	29909498	2022.00	1009.59
8196	29909567	2081.00	1649.40
8197	29909569	2081.00	1928.78
8198	29909572	2081.00	1928.78
8169	29909513	2036.00	4.17
8171	29909522	2045.00	3660.39
8163	29909502	2025.00	1350.00
8181	29909545	2063.00	1100.00
8183	29909549	2067.00	8800.00
8227	29909624	2110.00	-37.61
8169	29909517	2040.00	1290.00
8151	29909480	2004.00	1384.31
8152	29909481	2005.00	813.97
8153	29909482	2006.00	278.00
8154	29909483	2007.00	2048.60
8175	29909535	2053.00	1013.55
8179	29909539	2057.00	15159.64
8186	29909555	2070.00	13953.35
8162	29909500	2024.00	10404.00
8162	29909499	2023.00	6899.68
8165	29909504	2027.00	1905.00
8170	29909520	2043.00	4759.85
8168	29909508	2031.00	2579.13
8164	29909503	2026.00	119.80
8166	29909505	2028.00	450.00
8201	29909575	2085.00	2209.30
8187	29909556	2071.00	152.49
8189	29909559	2073.00	4340.00
8192	29909563	2076.00	1687.48
8190	29909561	2074.00	4978.19
8193	29909564	2077.00	500.00
8191	29909562	2075.00	3846.94
8194	29909565	2079.00	10794.51
8202	29909576	2086.00	1196.00
8203	29909577	2087.00	206.50
8213	29909593	2095.00	187.50
8225	29909619	2108.00	350.00
8210	29909590	2092.00	3193.75
8211	29909591	2094.00	175.00
8212	29909592	2094.00	850.00
8223	29909616	2105.00	987.50
8225	29909618	2107.00	312.50
8226	29909621	2109.00	1356.25
8214	29909594	2096.00	2626.00
8216	29909596	2098.00	1575.00
8217	29909597	2099.00	3281.25
8218	29909598	2100.00	525.00
8219	29909599	2101.00	212.50
8220	29909600	2102.00	3325.00
8221	29909601	2103.00	6591.09
8222	29909602	2104.00	6478.50
8215	29909595	2097.00	262.50
8224	29909617	2106.00	962.50
8228	29909626	2112.00	2700.00
8235	29909646	2133.00	1959.00
8235	29909647	2134.00	32.20
8257	29909684	2169.00	62.50
8255	29909680	2166.00	62.50
8236	29909651	2135.00	3798.27
8261	29909691	2173.00	87.50
8242	29909659	2145.00	831.25
8251	29909671	2158.00	437.50
8257	29909683	2168.00	87.50
8254	29909676	2162.00	87.50
8251	29909672	2157.00	125.00
8255	29909677	2163.00	125.00
8255	29909679	2165.00	87.50
8260	29909690	2172.00	70.00
8243	29909660	2146.00	262.50
8251	29909670	2156.00	125.00
8256	29909682	2167.00	175.00
8258	29909686	2170.00	262.50
8252	29909673	2159.00	62.50
8245	29909663	2149.00	1487.50
8246	29909664	2150.00	2056.25
8247	29909665	2151.00	568.75
8248	29909666	2152.00	5468.75
8249	29909667	2153.00	4112.50
8255	29909678	2164.00	62.50
8262	29909692	2174.00	87.50
8263	29909693	2175.00	87.50
8258	29909687	2171.00	30.00
8254	29909675	2161.00	87.50
8250	29909668	2154.00	787.50
8253	29909674	2160.00	30.00
8243	29909661	2147.00	981.75
8250	29909669	2155.00	1710.00
8267	29909701	2177.00	3210.00
