				Type		Date		Num		Memo		Account		Clr		Split		Amount
	A
				Invoice		11/01/2018		1949				106 · Accounts Receivable				-SPLIT-		575.00
				Payment		11/07/2018				1949		110 · Deposit in Transit		Ö		106 · Accounts Receivable		575.00
	A
				Invoice		11/01/2018		1950				106 · Accounts Receivable				-SPLIT-		900.00
				Payment		11/09/2018		15326		1950		110 · Deposit in Transit		Ö		106 · Accounts Receivable		900.00
	A
				Invoice		11/15/2018		2003				106 · Accounts Receivable				-SPLIT-		2,009.85
				Invoice		11/21/2018		2087				106 · Accounts Receivable				-SPLIT-		223.95
				Payment		11/21/2018				2087		110 · Deposit in Transit		Ö		106 · Accounts Receivable		223.95
				Payment		11/26/2018				2003		110 · Deposit in Transit		Ö		106 · Accounts Receivable		2,009.85
	A
				Invoice		11/15/2018		2004				106 · Accounts Receivable				-SPLIT-		1,384.31
				Invoice		11/15/2018		2005				106 · Accounts Receivable				-SPLIT-		888.15
				Invoice		11/15/2018		2006				106 · Accounts Receivable				-SPLIT-		278.00
				Invoice		11/15/2018		2007				106 · Accounts Receivable				-SPLIT-		2,048.60
				Invoice		11/19/2018		2074				106 · Accounts Receivable				-SPLIT-		4,978.19
				Payment		11/20/2018				1979		110 · Deposit in Transit		Ö		106 · Accounts Receivable		2,450.00
				Payment		11/27/2018				2004,2005,2006,2007		110 · Deposit in Transit		Ö		106 · Accounts Receivable		4,599.06
				Invoice		11/30/2018		2144		VOID:		106 · Accounts Receivable		Ö		-SPLIT-		0.00
				Invoice		11/30/2018		2194				106 · Accounts Receivable				-SPLIT-		3,238.00
	A
				Payment		11/20/2018		289133		1734, 1764		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,925.00
	A
				Invoice		11/01/2018		1951				106 · Accounts Receivable				-SPLIT-		2,458.25
				Invoice		11/01/2018		1952				106 · Accounts Receivable				-SPLIT-		3,158.33
				Invoice		11/01/2018		1953				106 · Accounts Receivable				-SPLIT-		1,754.16
				Invoice		11/01/2018		1955				106 · Accounts Receivable				-SPLIT-		1,016.67
				Invoice		11/01/2018		1956				106 · Accounts Receivable				-SPLIT-		2,495.83
				Invoice		11/01/2018		1958				106 · Accounts Receivable				-SPLIT-		2,700.00
				Invoice		11/01/2018		1961				106 · Accounts Receivable				-SPLIT-		3,472.92
				Invoice		11/01/2018		1962				106 · Accounts Receivable				-SPLIT-		2,187.92
				Invoice		11/01/2018		1963				106 · Accounts Receivable				-SPLIT-		2,208.33
				Payment		11/14/2018		RA57229		1788,1951,1952,1953,1955,1956,1958,1961,1962,1963		110 · Deposit in Transit		Ö		106 · Accounts Receivable		22,565.29
				Invoice		11/19/2018		2073				106 · Accounts Receivable				-SPLIT-		4,340.00
				Payment		11/28/2018		57655		2073		110 · Deposit in Transit		Ö		106 · Accounts Receivable		4,340.00
	B
				Payment		11/05/2018				1703		110 · Deposit in Transit		Ö		106 · Accounts Receivable		262.50
				Invoice		11/09/2018		1986				106 · Accounts Receivable				-SPLIT-		26.14
				Payment		11/09/2018		17525		1392		110 · Deposit in Transit		Ö		106 · Accounts Receivable		6,770.00
				Invoice		11/15/2018		2008				106 · Accounts Receivable				-SPLIT-		7,094.50
				Invoice		11/16/2018		1991				106 · Accounts Receivable				-SPLIT-		262.50
				Payment		11/19/2018		17546		1611		110 · Deposit in Transit		Ö		106 · Accounts Receivable		6,789.92
	B
				Invoice		11/05/2018		1977				106 · Accounts Receivable				-SPLIT-		52,000.00
				Payment		11/05/2018		ACH1747		1782		110 · Deposit in Transit		Ö		106 · Accounts Receivable		52,000.00
				Payment		11/08/2018		ACH1750		1977		110 · Deposit in Transit		Ö		106 · Accounts Receivable		52,000.00
				Invoice		11/14/2018		2002				106 · Accounts Receivable				-SPLIT-		1,352.40
				Invoice		11/15/2018		2083				106 · Accounts Receivable				-SPLIT-		400.00
				Payment		11/27/2018		ACH1761		2002		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,352.40
				Invoice		11/30/2018		2095				106 · Accounts Receivable				-SPLIT-		62.50
	B
				Invoice		11/15/2018		2084				106 · Accounts Receivable				-SPLIT-		1,110.00
				Payment		11/27/2018		ACH1761		2084		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,110.00
	B
				Payment		11/06/2018		ACH1748		1817,1792,1894,1907		110 · Deposit in Transit		Ö		106 · Accounts Receivable		10,236.96
				Payment		11/06/2018		ACH1748		1700		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,600.00
				Invoice		11/14/2018		1980				106 · Accounts Receivable				-SPLIT-		1,225.00
				Invoice		11/15/2018		2091				106 · Accounts Receivable				-SPLIT-		2,012.23
				Invoice		11/16/2018		1990				106 · Accounts Receivable				-SPLIT-		875.00
				Invoice		11/30/2018		2092				106 · Accounts Receivable				-SPLIT-		3,325.00
				Invoice		11/30/2018		2145				106 · Accounts Receivable				-SPLIT-		875.00
	B
				Invoice		11/15/2018		2011				106 · Accounts Receivable				-SPLIT-		200.00
	B
				Invoice		11/15/2018		2012				106 · Accounts Receivable				-SPLIT-		1,050.00
				Invoice		11/30/2018		2094				106 · Accounts Receivable				-SPLIT-		1,025.00
	B
				Invoice		11/15/2018		2013				106 · Accounts Receivable				-SPLIT-		1,200.00
				Payment		11/29/2018		ACH1764		2013		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,200.00
	B
				Invoice		11/15/2018		2014				106 · Accounts Receivable				-SPLIT-		500.00
				Payment		11/27/2018		ACH1761		2014		110 · Deposit in Transit		Ö		106 · Accounts Receivable		500.00
	B
				Invoice		11/15/2018		2015				106 · Accounts Receivable				-SPLIT-		1,720.00
	B
				Invoice		11/15/2018		2089				106 · Accounts Receivable				-SPLIT-		1,367.83
				Invoice		11/30/2018		2143				106 · Accounts Receivable				-SPLIT-		125.00
	B
				Invoice		11/15/2018		2017				106 · Accounts Receivable				-SPLIT-		500.00
				Payment		11/20/2018		ACH1758		1825		110 · Deposit in Transit		Ö		106 · Accounts Receivable		500.00
	C
				Invoice		11/15/2018		2019				106 · Accounts Receivable				-SPLIT-		1,402.00
				Payment		11/26/2018				2019		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,402.00
	C
				Invoice		11/15/2018		2020				106 · Accounts Receivable				-SPLIT-		1,527.75
				Payment		11/26/2018				2020		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,527.75
	C
				Invoice		11/15/2018		2021				106 · Accounts Receivable				-SPLIT-		116.76
				Payment		11/26/2018				2021		110 · Deposit in Transit		Ö		106 · Accounts Receivable		116.76
	C
				Invoice		11/14/2018		1981				106 · Accounts Receivable				-SPLIT-		262.50
				Invoice		11/15/2018		2022				106 · Accounts Receivable				-SPLIT-		1,009.59
				Payment		11/19/2018		6171		1908, 1981		110 · Deposit in Transit		Ö		106 · Accounts Receivable		575.00
				Invoice		11/30/2018		2096				106 · Accounts Receivable				-SPLIT-		2,902.50
				Invoice		11/30/2018		2146		VOID:		106 · Accounts Receivable		Ö		-SPLIT-		0.00
	C
				Payment		11/01/2018		15724		1923		110 · Deposit in Transit		Ö		106 · Accounts Receivable		4,691.60
				Invoice		11/16/2018		1992				106 · Accounts Receivable				-SPLIT-		134.19
				Payment		11/26/2018		15746		1992		110 · Deposit in Transit		Ö		106 · Accounts Receivable		134.19
				Invoice		11/30/2018		2097				106 · Accounts Receivable				-SPLIT-		350.00
				Invoice		11/30/2018		2147				106 · Accounts Receivable				-SPLIT-		1,225.00
	C
				Payment		11/02/2018		31059		1830		110 · Deposit in Transit		Ö		106 · Accounts Receivable		2,833.44
				Invoice		11/15/2018		2023				106 · Accounts Receivable				-SPLIT-		6,899.68
				Invoice		11/19/2018		2075				106 · Accounts Receivable				-SPLIT-		3,846.94
				Payment		11/23/2018		31450		1830,1886		110 · Deposit in Transit		Ö		106 · Accounts Receivable		10,329.45
	D
				Invoice		11/01/2018		1925				106 · Accounts Receivable				-SPLIT-		1,875.53
				Payment		11/02/2018		1514		1925		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,875.53
	E
				Invoice		11/30/2018		1993				106 · Accounts Receivable				-SPLIT-		175.00
	E
				Invoice		11/15/2018		2025				106 · Accounts Receivable				-SPLIT-		1,350.00
				Payment		11/30/2018		6594		1832		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,350.00
				Invoice		11/30/2018		2159		VOID:		106 · Accounts Receivable		Ö		-SPLIT-		0.00
	E
				Payment		11/13/2018		1425		1833		110 · Deposit in Transit		Ö		106 · Accounts Receivable		85.07
				Invoice		11/15/2018		2026				106 · Accounts Receivable				-SPLIT-		119.80
				Invoice		11/30/2018		2160				106 · Accounts Receivable				-SPLIT-		30.00
	E
				Invoice		11/14/2018		1982				106 · Accounts Receivable				-SPLIT-		350.00
				Invoice		11/15/2018		2027				106 · Accounts Receivable				-SPLIT-		1,905.00
				Payment		11/19/2018		43679		1910, 1930, 1941		110 · Deposit in Transit		Ö		106 · Accounts Receivable		2,512.50
				Invoice		11/30/2018		2161				106 · Accounts Receivable				-SPLIT-		87.50
	E
				Payment		11/05/2018		97271		1706,1708,1721,1735,1736,1737,1768,1769,1770,1772		110 · Deposit in Transit		Ö		106 · Accounts Receivable		12,807.50
				Invoice		11/09/2018		1978				106 · Accounts Receivable				-SPLIT-		49,391.01
				Invoice		11/14/2018		1983				106 · Accounts Receivable				-SPLIT-		2,450.00
				Invoice		11/14/2018		1984				106 · Accounts Receivable				-SPLIT-		787.50
				Invoice		11/16/2018		1994				106 · Accounts Receivable				-SPLIT-		3,675.00
				Invoice		11/16/2018		1995				106 · Accounts Receivable				-SPLIT-		1,312.50
				Invoice		11/16/2018		1996				106 · Accounts Receivable				-SPLIT-		437.50
				Invoice		11/16/2018		1997				106 · Accounts Receivable				-SPLIT-		2,100.00
				Invoice		11/19/2018		2077				106 · Accounts Receivable				-SPLIT-		500.00
				Payment		11/26/2018		100408		1758, 1901		110 · Deposit in Transit		Ö		106 · Accounts Receivable		47,676.35
				Invoice		11/30/2018		2099				106 · Accounts Receivable				-SPLIT-		3,412.50
				Invoice		11/30/2018		2100				106 · Accounts Receivable				-SPLIT-		612.50
				Invoice		11/30/2018		2101				106 · Accounts Receivable				-SPLIT-		212.50
				Invoice		11/30/2018		2102				106 · Accounts Receivable				-SPLIT-		3,675.00
				Invoice		11/30/2018		2104				106 · Accounts Receivable				-SPLIT-		6,825.00
				Invoice		11/30/2018		2149				106 · Accounts Receivable				-SPLIT-		1,487.50
				Invoice		11/30/2018		2150				106 · Accounts Receivable				-SPLIT-		2,100.00
				Invoice		11/30/2018		2151				106 · Accounts Receivable				-SPLIT-		612.50
				Invoice		11/30/2018		2152				106 · Accounts Receivable				-SPLIT-		5,687.50
				Invoice		11/30/2018		2153				106 · Accounts Receivable				-SPLIT-		4,375.00
	F
				Invoice		11/15/2018		2028				106 · Accounts Receivable				-SPLIT-		450.00
	F
				Invoice		11/29/2018		2133				106 · Accounts Receivable				-SPLIT-		1,959.00
				Payment		11/29/2018				2133		110 · Deposit in Transit		Ö		106 · Accounts Receivable		1,959.00
				Invoice		11/30/2018		2107				106 · Accounts Receivable				-SPLIT-		312.50
	G
				Payment		11/07/2018				1773, 1797, 1897		110 · Deposit in Transit		Ö		106 · Accounts Receivable		2,275.00
